🙅	person gesturing NO	1
🎓	graduation cap	0
📐	triangular ruler	0
🐳	spouting whale	0
🪙	coin	0
🐾	paw prints	0
🥲	smiling face with tear	0
🏳️	white flag	0
🤭	face with hand over mouth	0
🌈	rainbow	0
🏘️	houses	0
🤢	nauseated face	0
🌷	tulip	0
🎂	birthday cake	0
😇	smiling face with halo	0
🕳️	hole	0
🍕	pizza	0
👈	backhand index pointing left	1
🏡	house with garden	0
🎧	headphone	0
🧑‍🍳	cook	1
🐕	dog	0
🚢	ship	0
🛑	stop sign	0
🔤	input latin letters	0
🤬	face with symbols on mouth	0
🤤	drooling face	0
🎅	Santa Claus	1
🌚	new moon face	0
🗑️	wastebasket	0
✊	raised fist	1
🗳️	ballot box with ballot	0
🦋	butterfly	0
😟	worried face	0
❣️	heart exclamation	0
📢	loudspeaker	0
👊	oncoming fist	1
🏺	amphora	0
▶️	play button	0
🌡️	thermometer	0
🪐	ringed planet	0
🧢	billed cap	0
👂	ear	1
⚽	soccer ball	0
🔧	wrench	0
🎈	balloon	0
💍	ring	0
🍂	fallen leaf	0
💫	dizzy	0
🏀	basketball	0
🤷‍♀️	woman shrugging	1
🕺	man dancing	1
🥶	cold face	0
🤘	sign of the horns	1
🍎	red apple	0
👪	family	0
🍷	wine glass	0
🧂	salt	0
🕰️	mantelpiece clock	0
🇬🇧	flag: United Kingdom	0
🔪	kitchen knife	0
🌎	globe showing Americas	0
🏝️	desert island	0
☁️	cloud	0
👦	boy	1
🇨🇳	flag: China	0
🦍	gorilla	0
🍾	bottle with popping cork	0
😡	enraged face	0
😨	fearful face	0
🤖	robot	0
💓	beating heart	0
😑	expressionless face	0
🕯️	candle	0
🔭	telescope	0
🍳	cooking	0
🕊️	dove	0
🇫🇷	flag: France	0
🏅	sports medal	0
📥	inbox tray	0
🌕	full moon	0
🏦	bank	0
⛪	church	0
🔨	hammer	0
🌞	sun with face	0
⚫	black circle	0
🧹	broom	0
🌶️	hot pepper	0
🌴	palm tree	0
🚩	triangular flag	0
🔀	shuffle tracks button	0
🛍️	shopping bags	0
🐑	ewe	0
🔋	battery	0
💊	pill	0
🍫	chocolate bar	0
🍋	lemon	0
🧊	ice	0
🏃‍♂️	man running	1
🎲	game die	0
🎸	guitar	0
🤠	cowboy hat face	0
🛣️	motorway	0
💣	bomb	0
🦄	unicorn	0
💦	sweat droplets	0
🧑‍💼	office worker	1
🤎	brown heart	0
🤮	face vomiting	0
🙋‍♀️	woman raising hand	1
⚗️	alembic	0
🍔	hamburger	0
🤕	face with head-bandage	0
🤧	sneezing face	0
🙊	speak-no-evil monkey	0
🎵	musical note	0
💌	love letter	0
✂️	scissors	0
🧺	basket	0
🌼	blossom	0
🍁	maple leaf	0
🍞	bread	0
⬅️	left arrow	0
🥗	green salad	0
🫶	heart hands	1
🇯🇵	flag: Japan	0
🇩🇪	flag: Germany	0
⛽	fuel pump	0
📰	newspaper	0
⛏️	pick	0
🛒	shopping cart	0
👣	footprints	0
🔜	SOON arrow	0
♾️	infinity	0
🔌	electric plug	0
👆	backhand index pointing up	1
🇮🇳	flag: India	0
😰	anxious face with sweat	0
🔴	red circle	0
🏥	hospital	0
👯	people with bunny ears	1
🌬️	wind face	0
⛓️	chains	0
🤐	zipper-mouth face	0
🆙	UP! button	0
🐋	whale	0
😝	squinting face with tongue	0
😫	tired face	0
📞	telephone receiver	0
🧮	abacus	0
💐	bouquet	0
🎊	confetti ball	0
⭕	hollow red circle	0
🧲	magnet	0
🍺	beer mug	0
💁‍♀️	woman tipping hand	1
⏱️	stopwatch	0
😮‍💨	face exhaling	0
🐟	fish	0
🔎	magnifying glass tilted right	0
🌺	hibiscus	0
🇷🇺	flag: Russia	0
🪤	mouse trap	0
🍪	cookie	0
🌀	cyclone	0
🟢	green circle	0
👴	old man	1
🐦	bird	0
🩺	stethoscope	0
🫣	face with peeking eye	0
📣	megaphone	0
❤️‍🩹	mending heart	0
✔️	check mark	0
🏚️	derelict house	0
😛	face with tongue	0
🫂	people hugging	0
🧨	firecracker	0
🤸	person cartwheeling	1
🇮🇹	flag: Italy	0
🇬🇷	flag: Greece	0
📡	satellite antenna	0
🌪️	tornado	0
😵	face with crossed-out eyes	0
🔓	unlocked	0
🏋️	person lifting weights	1
🏜️	desert	0
😞	disappointed face	0
🤦‍♀️	woman facepalming	1
💘	heart with arrow	0
🚧	construction	0
🎼	musical score	0
👄	mouth	0
〰️	wavy dash	0
😐	neutral face	0
👖	jeans	0
🙋‍♂️	man raising hand	1
☃️	snowman	0
🆘	SOS button	0
😙	kissing face with smiling eyes	0
📧	e-mail	0
🍬	candy	0
🫵	index pointing at the viewer	1
🍹	tropical drink	0
👨‍👩‍👧‍👦	family: man, woman, girl, boy	0
🧑‍🤝‍🧑	people holding hands	1
🥃	tumbler glass	0
💤	ZZZ	0
🐛	bug	0
⚰️	coffin	0
🚶‍♂️	man walking	1
🦴	bone	0
🐢	turtle	0
🦅	eagle	0
🛌	person in bed	1
🐂	ox	0
🔊	speaker high volume	0
🏔️	snow-capped mountain	0
🤌	pinched fingers	1
🛰️	satellite	0
👩	woman	1
🐈	cat	0
📵	no mobile phones	0
🐄	cow	0
⛈️	cloud with lightning and rain	0
🔩	nut and bolt	0
🇪🇸	flag: Spain	0
👟	running shoe	0
🍰	shortcake	0
🎃	jack-o-lantern	0
🚜	tractor	0
🎆	fireworks	0
🧾	receipt	0
🎀	ribbon	0
🇰🇷	flag: South Korea	0
🐱	cat face	0
🐐	goat	0
🙉	hear-no-evil monkey	0
🥹	face holding back tears	0
🥕	carrot	0
🧼	soap	0
😚	kissing face with closed eyes	0
👐	open hands	1
☮️	peace symbol	0
🧣	scarf	0
❗	red exclamation mark	0
🤰	pregnant woman	1
😣	persevering face	0
🧒	child	1
🏯	Japanese castle	0
🌮	taco	0
↩️	right arrow curving left	0
🔫	water pistol	0
✝️	latin cross	0
➖	minus	0
🔐	locked with key	0
👕	t-shirt	0
🎖️	military medal	0
🧳	luggage	0
🧫	petri dish	0
👔	necktie	0
👧	girl	1
💾	floppy disk	0
🦃	turkey	0
🧍‍♂️	man standing	1
➗	divide	0
🐺	wolf	0
🥛	glass of milk	0
♟️	chess pawn	0
🤚	raised back of hand	1
🗽	Statue of Liberty	0
☔	umbrella with rain drops	0
🌻	sunflower	0
🧑	person	1
🐠	tropical fish	0
🫁	lungs	0
🏟️	stadium	0
🦾	mechanical arm	0
🛢️	oil drum	0
🧵	thread	0
🚽	toilet	0
🙋	person raising hand	1
🎒	backpack	0
🌋	volcano	0
🖥️	desktop computer	0
🌝	full moon face	0
🐉	dragon	0
🎰	slot machine	0
🛤️	railway track	0
🐸	frog	0
🧸	teddy bear	0
🥩	cut of meat	0
🗂️	card index dividers	0
🤳	selfie	1
📤	outbox tray	0
🥚	egg	0
☄️	comet	0
🧑‍🦯	person with white cane	1
👙	bikini	0
💳	credit card	0
🍌	banana	0
🌠	shooting star	0
🤟	love-you gesture	1
🌫️	fog	0
🍆	eggplant	0
📂	open file folder	0
🍲	pot of food	0
🛏️	bed	0
🧀	cheese wedge	0
🎩	top hat	0
📲	mobile phone with arrow	0
🏕️	camping	0
🚌	bus	0
🕶️	sunglasses	0
🍚	cooked rice	0
🦁	lion	0
🍵	teacup without handle	0
🕌	mosque	0
🍃	leaf fluttering in wind	0
🌃	night with stars	0
🗾	map of Japan	0
📩	envelope with arrow	0
🍝	spaghetti	0
🎷	saxophone	0
🚂	locomotive	0
👃	nose	1
👮	police officer	1
🎻	violin	0
🍉	watermelon	0
🥁	drum	0
🍇	grapes	0
🔦	flashlight	0
🍄	mushroom	0
🌑	new moon	0
🍩	doughnut	0
🪦	headstone	0
📃	page with curl	0
🐘	elephant	0
🦵	leg	1
🍭	lollipop	0
🦈	shark	0
🚚	delivery truck	0
🍯	honey pot	0
🖌️	paintbrush	0
⚓	anchor	0
🩳	shorts	0
🤴	prince	1
🪵	wood	0
🍓	strawberry	0
💴	yen banknote	0
👷	construction worker	1
👨	man	1
⌨️	keyboard	0
🫀	anatomical heart	0
🪑	chair	0
🕵️	detective	1
🎥	movie camera	0
🍒	cherries	0
🥤	cup with straw	0
🧑‍🌾	farmer	1
👅	tongue	0
🃏	joker	0
🛁	bathtub	0
🧤	gloves	0
✏️	pencil	0
💹	chart increasing with yen	0
🍼	baby bottle	0
🥖	baguette bread	0
👸	princess	1
🌏	globe showing Asia-Australia	0
🌉	bridge at night	0
👗	dress	0
🌵	cactus	0
🛶	canoe	0
🚆	train	0
🎟️	admission tickets	0
🚲	bicycle	0
🌦️	sun behind rain cloud	0
🐖	pig	0
🥒	cucumber	0
🤵	person in tuxedo	1
🥦	broccoli	0
💉	syringe	0
🎺	trumpet	0
🍊	tangerine	0
🐍	snake	0
👵	old woman	1
🥧	pie	0
👰	person with veil	1
🎹	musical keyboard	0
🖐️	hand with fingers splayed	1
🥢	chopsticks	0
🛸	flying saucer	0
🧴	lotion bottle	0
🦎	lizard	0
🦜	parrot	0
🕹️	joystick	0
🌽	ear of corn	0
🕸️	spider web	0
🧰	toolbox	0
🧑‍🚀	astronaut	1
🧖	person in steamy room	1
🕒	three o’clock	0
⛵	sailboat	0
🏈	american football	0
🍅	tomato	0
🖨️	printer	0
🍑	peach	0
🥘	shallow pan of food	0
🦊	fox	0
🕛	twelve o’clock	0
🐒	monkey	0
🥞	pancakes	0
🍏	green apple	0
🥜	peanuts	0
🏪	convenience store	0
🦷	tooth	0
🥬	leafy green	0
🦌	deer	0
🎛️	control knobs	0
🏹	bow and arrow	0
🐮	cow face	0
🛥️	motor boat	0
☘️	shamrock	0
🚕	taxi	0
🍣	sushi	0
🐪	camel	0
🪴	potted plant	0
🐎	horse	0
⌚	watch	0
✉️	envelope	0
🖖	vulcan salute	1
🪞	mirror	0
🧑‍🎓	student	1
🦇	bat	0
🎣	fishing pole	0
🛕	hindu temple	0
🦀	crab	0
👼	baby angel	1
🪜	ladder	0
🥊	boxing glove	0
🐰	rabbit face	0
🍤	fried shrimp	0
💁	person tipping hand	1
🍟	french fries	0
🧗	person climbing	1
💒	wedding	0
🧑‍⚕️	health worker	1
🐬	dolphin	0
🥷	ninja	1
🎢	roller coaster	0
🎞️	film frames	0
🥀	wilted flower	0
🥨	pretzel	0
🐷	pig face	0
🥣	bowl with spoon	0
🧑‍⚖️	judge	1
🪓	axe	0
📻	radio	0
🐙	octopus	0
🍜	steaming bowl	0
🗡️	dagger	0
🦉	owl	0
🍦	soft ice cream	0
🌄	sunrise over mountains	0
🗿	moai	0
🐝	honeybee	0
💶	euro banknote	0
🤛	left-facing fist	1
🧑‍💻	technologist	1
🥡	takeout box	0
🚿	shower	0
🐈‍⬛	black cat	0
🩹	adhesive bandage	0
💄	lipstick	0
🕷️	spider	0
🦘	kangaroo	0
🗝️	old key	0
🥄	spoon	0
🏮	red paper lantern	0
🧿	nazar amulet	0
🐣	hatching chick	0
🦐	shrimp	0
🏄	person surfing	1
🧥	coat	0
🐌	snail	0
🐜	ant	0
🌨️	cloud with snow	0
🌭	hot dog	0
🍖	meat on bone	0
🪄	magic wand	0
🪶	feather	0
🚙	sport utility vehicle	0
🧑‍🎨	artist	1
🚬	cigarette	0
🎪	circus tent	0
🦑	squid	0
🏨	hotel	0
🍛	curry rice	0
🥫	canned food	0
🥑	avocado	0
🔔	bell	0
🍗	poultry leg	0
🦶	foot	1
🚁	helicopter	0
🐯	tiger face	0
🌜	last quarter moon face	0
🪡	sewing needle	0
🧑‍🎤	singer	1
🐚	spiral shell	0
🥈	2nd place medal	0
🥪	sandwich	0
⌛	hourglass done	0
⛩️	shinto shrine	0
🥅	goal net	0
🧶	yarn	0
☎️	telephone	0
📮	postbox	0
📨	incoming envelope	0
🍍	pineapple	0
⛲	fountain	0
💆	person getting massage	1
🚦	vertical traffic light	0
🧁	cupcake	0
🛹	skateboard	0
🦧	orangutan	0
🐴	horse face	0
🥔	potato	0
⚒️	hammer and pick	0
🚇	metro	0
🛫	airplane departure	0
🏎️	racing car	0
🖊️	pen	0
🐨	koala	0
🧦	socks	0
🛎️	bellhop bell	0
🥓	bacon	0
🛖	hut	0
🎇	sparkler	0
🌛	first quarter moon face	0
🎋	tanabata tree	0
🗼	Tokyo tower	0
🏒	ice hockey	0
🐇	rabbit	0
♦️	diamond suit	0
🤜	right-facing fist	1
🙇	person bowing	1
🧅	onion	0
🧧	red envelope	0
🦒	giraffe	0
🦕	sauropod	0
🐽	pig nose	0
🐊	crocodile	0
🛬	airplane arrival	0
🍸	cocktail glass	0
🧈	butter	0
🌰	chestnut	0
🌤️	sun behind small cloud	0
🐓	rooster	0
🐀	rat	0
👜	handbag	0
🌥️	sun behind large cloud	0
👠	high-heeled shoe	0
⛷️	skier	0
🐫	two-hump camel	0
🥯	bagel	0
🦖	T-Rex	0
🎾	tennis	0
🚔	oncoming police car	0
🌗	last quarter moon	0
🧑‍🔧	mechanic	1
📬	open mailbox with raised flag	0
🐔	chicken	0
🥾	hiking boot	0
📿	prayer beads	0
🧽	sponge	0
📹	video camera	0
🖱️	computer mouse	0
🧻	roll of paper	0
🪟	window	0
🌖	waning gibbous moon	0
🧑‍✈️	pilot	1
🪢	knot	0
🦔	hedgehog	0
🪆	nesting dolls	0
🥟	dumpling	0
🛷	sled	0
🏇	horse racing	1
🪔	diya lamp	0
🐼	panda	0
🎗️	reminder ribbon	0
💿	optical disk	0
📼	videocassette	0
🦞	lobster	0
🙆	person gesturing OK	1
🤹	person juggling	1
🍢	oden	0
🍐	pear	0
🗻	mount fuji	0
🧑‍🔬	scientist	1
☂️	umbrella	0
⛸️	ice skate	0
🤶	Mrs. Claus	1
🐹	hamster	0
🍈	melon	0
🦟	mosquito	0
🧑‍🏫	teacher	1
✒️	black nib	0
🧋	bubble tea	0
🎡	ferris wheel	0
🐿️	chipmunk	0
🪱	worm	0
🚤	speedboat	0
🪰	fly	0
🥥	coconut	0
🎳	bowling	0
🦂	scorpion	0
🗞️	rolled-up newspaper	0
🍥	fish cake with swirl	0
🎙️	studio microphone	0
📁	file folder	0
📆	tear-off calendar	0
⚾	baseball	0
🍡	dango	0
👚	woman’s clothes	0
🚓	police car	0
🚘	oncoming automobile	0
🗄️	file cabinet	0
👡	woman’s sandal	0
🧏	deaf person	1
🦝	raccoon	0
🐲	dragon face	0
🍨	ice cream	0
📘	blue book	0
♨️	hot springs	0
🐵	monkey face	0
🐃	water buffalo	0
🍱	bento box	0
🤿	diving mask	0
🔖	bookmark	0
🍶	sake	0
💺	seat	0
🌆	cityscape at dusk	0
🥝	kiwi fruit	0
🐥	front-facing baby chick	0
👩‍🦱	woman: curly hair	1
🥋	martial arts uniform	0
👓	glasses	0
🥐	croissant	0
🚠	mountain cableway	0
⏲️	timer clock	0
🖋️	fountain pen	0
🐕‍🦺	service dog	0
🫒	olive	0
🛳️	passenger ship	0
🐁	mouse	0
🦗	cricket	0
🎱	pool 8 ball	0
⛺	tent	0
🦓	zebra	0
🦥	sloth	0
🧑‍🎄	Mx Claus	1
🦬	bison	0
🧃	beverage box	0
🛩️	small airplane	0
🦣	mammoth	0
🧔	person: beard	1
🔇	muted speaker	0
🤱	breast-feeding	1
🤼	people wrestling	1
🚉	station	0
🐅	tiger	0
🌔	waxing gibbous moon	0
💷	pound banknote	0
🦆	duck	0
👒	woman’s hat	0
🥉	3rd place medal	0
🎫	ticket	0
🐆	leopard	0
🌇	sunset	0
🚑	ambulance	0
📀	dvd	0
🌩️	cloud with lightning	0
⛄	snowman without snow	0
🩰	ballet shoes	0
🐭	mouse face	0
🦚	peacock	0
🪧	placard	0
🐞	lady beetle	0
👨‍🦳	man: white hair	1
🪂	parachute	0
🪲	beetle	0
🪳	cockroach	0
🚒	fire engine	0
🏍️	motorcycle	0
🏑	field hockey	0
🏏	cricket game	0
🕍	synagogue	0
🦿	mechanical leg	0
🐻‍❄️	polar bear	0
🌒	waxing crescent moon	0
📑	bookmark tabs	0
🌯	burrito	0
🦢	swan	0
🏬	department store	0
🛀	person taking bath	1
🚄	high-speed train	0
👢	woman’s boot	0
👞	man’s shoe	0
👩‍🦰	woman: red hair	1
🚴	person biking	1
⛳	flag in hole	0
💂	guard	1
🪁	kite	0
📟	pager	0
🕐	one o’clock	0
🐏	ram	0
🦸	superhero	1
🪝	hook	0
🎎	Japanese dolls	0
🧑‍🦲	person: bald	1
⛅	sun behind cloud	0
⛴️	ferry	0
🪕	banjo	0
🎚️	level slider	0
💽	computer disk	0
📽️	film projector	0
📎	paperclip	0
👱	person: blond hair	1
🦪	oyster	0
🌓	first quarter moon	0
♠️	spade suit	0
🌘	waning crescent moon	0
🦏	rhinoceros	0
📕	closed book	0
🦤	dodo	0
🕋	kaaba	0
🚛	articulated lorry	0
🫐	blueberries	0
🏓	ping pong	0
🚃	railway car	0
🧓	older person	1
📠	fax machine	0
🗜️	clamp	0
🪣	bucket	0
🏌️	person golfing	1
👘	kimono	0
🦫	beaver	0
🍠	roasted sweet potato	0
📒	ledger	0
⚱️	funeral urn	0
🪚	carpentry saw	0
🍴	fork and knife	0
