258	-7.561474	▁he
259	-7.565217	ch
260	-7.566158	▁happy
261	-7.572669	ge
262	-7.574534	amp
263	-7.580595	म
264	-7.581741	▁what
265	-7.584062	▁mi
266	-7.585538	the
267	-7.590755	▁des
268	-7.591670	▁que
269	-7.591813	▁и
270	-7.593403	ض
271	-7.593431	ز
272	-7.593999	▁ha
273	-7.594308	त
274	-7.595285	ा
275	-7.595424	ó
276	-7.600395	ч
277	-7.602692	▁kwa
278	-7.604668	ين
279	-7.609245	lu
280	-7.617187	▁one
281	-7.618577	도
282	-7.619884	▁وال
283	-7.620357	▁al
284	-7.624143	ط
285	-7.624561	▁ب
286	-7.627444	we
287	-7.628582	ha
288	-7.645111	▁و
289	-7.646434	ка
290	-7.647234	ص
291	-7.649257	▁ت
292	-7.649506	▁vi
293	-7.649968	ل
294	-7.652891	ck
295	-7.655128	ment
296	-7.655132	у
297	-7.656278	з
298	-7.666311	人
299	-7.673309	▁на
300	-7.676854	ia
301	-7.677478	े
302	-7.685659	▁su
303	-7.690967	▁good
304	-7.693038	ر
305	-7.702164	▁now
306	-7.702504	기
307	-7.703634	▁ni
308	-7.704953	ja
309	-7.705098	▁back
310	-7.708256	▁today
311	-7.712254	ga
312	-7.714955	▁du
313	-7.715960	▁here
314	-7.718343	ра
315	-7.721511	▁ki
316	-7.722171	क
317	-7.723927	한
318	-7.728824	大
319	-7.732476	ru
320	-7.732625	на
321	-7.736509	ers
322	-7.738413	nt
323	-7.742754	el
324	-7.749388	!!!
325	-7.750597	л
326	-7.751488	▁si
327	-7.754560	za
328	-7.757792	▁-
329	-7.769239	다
330	-7.773465	ine
331	-7.775066	fa
332	-7.775314	▁more
333	-7.778441	▁don
334	-7.778632	st
335	-7.786290	▁see
336	-7.790401	▁pro
337	-7.790473	ko
338	-7.790532	する
339	-7.791102	▁1
340	-7.794032	к
341	-7.795092	ك
342	-7.795287	ン
343	-7.802196	▁les
344	-7.803901	▁they
345	-7.805368	cu
346	-7.806443	리
347	-7.811571	ye
348	-7.817076	ur
349	-7.817638	و
350	-7.819769	▁los
351	-7.820872	un
352	-7.821538	ст
353	-7.825986	▁का
354	-7.828193	/
355	-7.831088	▁if
356	-7.832395	▁की
357	-7.837826	ث
358	-7.839809	pe
359	-7.841308	ان
360	-7.844980	р
361	-7.845261	us
362	-7.847048	ion
363	-7.848655	▁night
364	-7.848936	mu
365	-7.851270	स
366	-7.852173	▁our
367	-7.854809	ation
368	-7.856470	과
369	-7.857476	но
370	-7.861708	▁&
371	-7.863410	ji
372	-7.864179	▁w
373	-7.865482	▁some
374	-7.866711	fi
375	-7.869067	б
376	-7.871226	で
377	-7.872771	ش
378	-7.874104	وا
379	-7.875079	▁po
380	-7.875180	▁الأ
381	-7.878565	اء
382	-7.879479	г
383	-7.883139	▁these
384	-7.883243	▁di
385	-7.883296	fu
386	-7.885171	▁e
387	-7.886637	ло
388	-7.888232	▁buy
389	-7.890285	ы
390	-7.891720	ла
391	-7.903361	á
392	-7.904536	hi
393	-7.906836	▁ca
394	-7.906854	い
395	-7.908269	ро
396	-7.910679	▁o
397	-7.914629	中
398	-7.916097	有
399	-7.918217	den
400	-7.919067	▁let
401	-7.919422	▁:
402	-7.921880	ال
403	-7.922516	bu
404	-7.925705	▁f
405	-7.927084	し
406	-7.928915	▁(
407	-7.932187	에서
408	-7.932570	ни
409	-7.933258	य
410	-7.935068	2
411	-7.936488	1
412	-7.938562	ent
413	-7.940287	▁best
414	-7.941937	bi
415	-7.946509	ho
416	-7.948103	▁ta
417	-7.949074	й
418	-7.949667	▁है
419	-7.951907	ти
420	-7.953753	▁got
421	-7.954287	प
422	-7.954308	▁ل
423	-7.956364	지
424	-7.956913	고
425	-7.959409	ов
426	-7.962441	ш
427	-7.963285	▁us
428	-7.963807	ul
429	-7.964547	щ
430	-7.964944	im
431	-7.965561	▁bears
432	-7.969190	▁2
433	-7.969991	ant
434	-7.974094	vi
435	-7.974405	一
436	-7.974568	▁bir
437	-7.975521	으로
438	-7.979423	ze
439	-7.979505	国
440	-7.981662	어
441	-7.983773	▁sa
442	-7.986197	자
443	-7.986255	▁से
444	-7.986973	yo
445	-7.988048	غ
446	-7.991454	在
447	-7.991539	▁da
448	-7.991620	▁last
449	-7.993534	▁co
450	-7.994610	so
451	-7.995516	地
452	-7.998388	res
453	-8.001652	▁about
454	-8.002935	是
455	-8.004492	▁لل
456	-8.007479	zo
457	-8.012039	▁pe
458	-8.012658	▁à
459	-8.015352	du
460	-8.015909	ー
461	-8.017988	est
462	-8.019667	ad
463	-8.021232	▁going
464	-8.022393	%
465	-8.030793	_
466	-8.030806	love
467	-8.031799	인
468	-8.033192	sh
469	-8.036022	et
470	-8.036091	▁una
471	-8.040709	ku
472	-8.041544	che
473	-8.043186	和
474	-8.045563	pi
475	-8.046831	ु
476	-8.049822	те
477	-8.056396	ون
478	-8.058364	▁h
479	-8.058894	▁और
480	-8.063410	ç
481	-8.065104	▁bo
482	-8.066014	る
483	-8.066359	age
484	-8.068914	▁k
485	-8.070425	▁who
486	-8.070479	ス
487	-8.071419	lan
488	-8.072040	ре
489	-8.076156	ан
490	-8.077956	um
491	-8.078625	ва
492	-8.083545	▁come
493	-8.083697	ных
494	-8.085535	▁ra
495	-8.086485	▁est
496	-8.087419	man
497	-8.087655	nd
498	-8.091725	че
499	-8.092396	▁how
500	-8.092963	▁pa
501	-8.093422	▁down
502	-8.093653	ie
503	-8.093657	да
504	-8.096650	▁g
505	-8.099310	ut
506	-8.099891	▁ex
507	-8.103414	▁know
508	-8.106437	व
509	-8.106933	した
510	-8.107227	ह
511	-8.109838	な
512	-8.110813	gi
513	-8.111944	▁не
514	-8.112265	"
515	-8.116634	j
516	-8.118855	▁people
517	-8.120943	।
518	-8.123893	▁3
519	-8.124073	▁على
520	-8.124074	▁ba
521	-8.124158	ول
522	-8.125091	▁za
523	-8.125785	▁"
524	-8.125795	my
525	-8.130513	▁man
526	-8.130517	les
527	-8.130648	ten
528	-8.131128	am
529	-8.133467	▁par
530	-8.133801	▁au
531	-8.133972	ları
532	-8.137751	ता
533	-8.137775	ю
534	-8.149379	va
535	-8.149632	que
536	-8.153170	▁her
537	-8.153470	▁es
538	-8.156368	ле
539	-8.156499	mb
540	-8.157458	▁great
541	-8.158298	lerin
542	-8.163116	▁ka
543	-8.166199	성
544	-8.167722	▁del
545	-8.167747	and
546	-8.170660	▁الت
547	-8.171195	▁...
548	-8.172928	ル
549	-8.173142	sta
550	-8.173808	ट
551	-8.174833	í
552	-8.176040	▁hu
553	-8.176209	ки
554	-8.176936	▁had
555	-8.177450	ار
556	-8.180929	▁को
557	-8.181291	ic
558	-8.181846	▁v
559	-8.182091	▁much
560	-8.185007	ι
561	-8.188776	▁bu
562	-8.190716	ो
563	-8.191600	lı
564	-8.192616	▁she
565	-8.196113	▁अ
566	-8.198535	ئ
567	-8.198731	生
568	-8.199233	▁за
569	-8.199443	▁has
570	-8.201804	tes
571	-8.203857	▁crypto
572	-8.205954	μ
573	-8.206050	je
574	-8.206455	не
575	-8.206931	▁ro
576	-8.206988	▁por
577	-8.208163	▁kuwa
578	-8.211645	та
579	-8.213479	▁over
580	-8.216377	▁при
581	-8.222190	▁tu
582	-8.226246	▁20
583	-8.228695	τ
584	-8.229447	▁year
585	-8.229965	▁عام
586	-8.232053	ción
587	-8.233455	▁fun
588	-8.234556	ना
589	-8.237245	ير
590	-8.237731	wi
591	-8.238995	스
592	-8.239031	▁pre
593	-8.239210	ू
594	-8.240275	لا
595	-8.240779	ting
596	-8.242012	▁pi
597	-8.244116	学
598	-8.249175	▁still
599	-8.249533	▁hi
600	-8.250399	#
601	-8.256529	▁со
602	-8.260846	يا
603	-8.261106	用
604	-8.262424	خ
605	-8.262615	day
606	-8.263364	го
607	-8.263688	श
608	-8.265015	▁cha
609	-8.267347	up
610	-8.267898	▁आ
611	-8.272380	▁little
612	-8.276385	대
613	-8.276426	上
614	-8.283808	▁cu
615	-8.288818	▁look
616	-8.292325	▁ho
617	-8.293289	ry
618	-8.299345	σ
619	-8.306405	하는
620	-8.308016	len
621	-8.309852	시
622	-8.310147	ny
623	-8.313356	η
624	-8.313808	ं
625	-8.317420	▁beautiful
626	-8.317821	he
627	-8.318731	▁dé
628	-8.321792	出
629	-8.321898	leri
630	-8.322984	性
631	-8.323979	3
632	-8.324129	▁christmas
633	-8.325017	分
634	-8.329101	▁only
635	-8.330614	수
636	-8.331066	▁18
637	-8.332695	ما
638	-8.333419	bo
639	-8.335953	▁ju
640	-8.336158	wo
641	-8.336248	اد
642	-8.337409	ron
643	-8.340725	▁fa
644	-8.342445	▁к
645	-8.343103	يد
646	-8.344142	ज
647	-8.345294	▁katika
648	-8.345603	▁first
649	-8.346313	ada
650	-8.346680	▁у
651	-8.347672	▁make
652	-8.351274	ε
653	-8.356798	vo
654	-8.356911	▁lol
655	-8.359389	▁birthday
656	-8.360166	行
657	-8.360364	ty
658	-8.363469	▁đ
659	-8.367392	も
660	-8.368706	cha
661	-8.368830	사
662	-8.370718	tor
663	-8.374660	ен
664	-8.375211	▁long
665	-8.375743	land
666	-8.376140	▁car
667	-8.376292	▁про
668	-8.379161	▁bitcoin
669	-8.379980	ль
670	-8.380137	와
671	-8.381593	nu
672	-8.383366	life
673	-8.385188	▁إلى
674	-8.385878	ной
675	-8.385946	▁there
676	-8.385997	▁수
677	-8.389352	▁thanks
678	-8.392894	化
679	-8.394232	sha
680	-8.394613	ве
681	-8.395176	all
682	-8.396171	▁right
683	-8.396657	α
684	-8.397194	ور
685	-8.398680	▁take
686	-8.399783	▁las
687	-8.399853	ff
688	-8.400030	▁per
689	-8.402477	ς
690	-8.403037	ğ
691	-8.404216	▁о
692	-8.405493	cia
693	-8.408063	5
694	-8.410107	定
695	-8.410343	ग
696	-8.411500	화
697	-8.411516	ने
698	-8.411524	体
699	-8.413050	4
700	-8.414524	gu
701	-8.414990	ber
702	-8.415111	ac
703	-8.416009	ity
704	-8.416696	▁mo
705	-8.418483	2016
706	-8.418647	ф
707	-8.420531	▁بال
708	-8.420556	रा
709	-8.420812	ın
710	-8.421120	▁been
711	-8.422481	▁p
712	-8.422927	ラ
713	-8.423025	や
714	-8.425835	id
715	-8.426928	▁life
716	-8.428350	▁@
717	-8.428372	mp
718	-8.430079	▁4
719	-8.430775	▁always
720	-8.433423	▁para
721	-8.433696	▁mar
722	-8.434464	tro
723	-8.434948	▁dis
724	-8.435507	во
725	-8.435789	را
726	-8.436869	ет
727	-8.437272	ми
728	-8.437495	▁पर
729	-8.439013	▁off
730	-8.439462	장
731	-8.440060	der
732	-8.440567	く
733	-8.441041	원
734	-8.442570	ア
735	-8.444291	▁next
736	-8.447379	tan
737	-8.447627	men
738	-8.448947	γ
739	-8.450105	法
740	-8.450393	▁(@
741	-8.450397	for
742	-8.450751	入
743	-8.451752	▁fi
744	-8.452144	ُ
745	-8.453090	」
746	-8.453829	▁again
747	-8.454044	tri
748	-8.455736	ध
749	-8.455803	ًا
750	-8.457836	ذ
751	-8.458736	▁lo
752	-8.460116	ित
753	-8.460421	ण
754	-8.461250	▁ana
755	-8.461987	水
